id,timestamp,State_actToolIdent
i1,2023-04-28T17:18:25.000+02:00,SCHRUPPER-A-L
i1,2023-04-28T17:18:29.000+02:00,FRAESER-10-AXHS
i1,2023-04-28T17:18:33.000+02:00,AX_UK_IN_SCHLI
i1,2023-04-28T17:18:41.000+02:00,SCHRUPPER-A-L
i1,2023-04-28T17:18:51.000+02:00,SCHLICHTER-A-L
i1,2023-04-28T17:19:07.000+02:00,EINSTI_2N-LR-HS
i1,2023-04-28T17:19:27.000+02:00,SCHLICHTER-A-L
i1,2023-04-28T17:20:02.000+02:00,EINSTICH-ABSTICH3
i1,2023-04-28T17:20:23.000+02:00,SCHLICHTER-A-R
i1,2023-04-28T17:20:32.000+02:00,SCHRUPPER-A-R
